,log_E,Freq
0,31.940341472591243,-1.3674938783136272
1,31.521194692021858,-1.066463882649646
2,31.491524619713434,-0.8903726235939649
3,31.328941839589852,-0.765433886985665
4,31.284552191430606,-0.6685238739776085
5,31.211213661443626,-0.5893426279299836
6,31.20802603736941,-0.5223958382993704
7,31.199930871170842,-0.4644038913216837
8,31.17061805876199,-0.41325136887430236
9,31.06851878067589,-0.3674938783136273
10,30.982576894853334,-0.3261011931554022
11,30.904552318232465,-0.2883126322660024
12,30.88782050425612,-0.2535505260067905
13,30.830208964784727,-0.2213658426353892
14,30.69930960247993,-0.191402619257946
15,30.69833412241757,-0.1633738956577025
16,30.386309969948837,-0.1370449569353533
17,30.342281918495015,-0.11222137321032119
