,log_E,Freq
0,33.14586142294473,-1.3674946063415645
1,33.11394589698556,-1.0664646106775832
2,32.990222179258815,-0.8903733516219019
3,32.77146578371498,-0.765434615013602
4,32.75974255092312,-0.6685246020055455
5,32.69473894086668,-0.5893433559579208
6,32.64456812639986,-0.5223965663273076
7,32.610655563193575,-0.46440461934962085
8,32.555620858048414,-0.4132520969022395
9,32.54376098896782,-0.3674946063415644
10,32.54177784188944,-0.32610192118333936
11,32.534541720766384,-0.28831336029393956
12,32.51338960887808,-0.2535512540347276
13,32.46141158670003,-0.22136657066332632
14,32.41669829940379,-0.19140334728588315
15,32.394631640162544,-0.16337462368563963
