,log_E,Freq
0,32.22248439408777,-1.7034114201826125
1,32.21877148292598,-1.4023814245186315
2,32.11673458483744,-1.22629016546295
3,32.10583538492081,-1.1013514288546502
4,32.06910666446147,-1.0044414158465937
5,31.95465472560581,-0.925260169798969
6,31.95210316880807,-0.8583133801683557
7,31.834978419983734,-0.800321433190669
8,31.77485539655461,-0.7491689107432877
9,31.672279601668023,-0.7034114201826126
10,31.57049832548628,-0.6620187350243876
11,31.56053504592675,-0.6242301741349877
12,31.555791555640724,-0.5894680678757758
13,31.54980938916102,-0.5572833845043745
14,31.527719212051906,-0.5273201611269314
15,31.507326781434898,-0.49929143752668775
16,31.5024076364558,-0.47296249880433866
17,31.48988037300287,-0.4481389150793065
18,31.47851631740906,-0.4246578192297836
19,31.46248621842133,-0.40238142451863135
20,31.434360425631464,-0.38119212544869324
21,31.430611109016656,-0.3609887393604063
22,31.425780070008653,-0.34168358416501965
23,31.400517519450663,-0.32320017847100657
24,31.39869493010916,-0.30547141151057494
25,31.395887918678916,-0.2884380722117946
26,31.39398220684446,-0.2720476560236252
27,31.366636896056935,-0.25625338884039334
28,31.328430188743127,-0.24101342228365646
29,31.296142989262002,-0.22629016546295014
30,31.27843130429058,-0.21204972634833985
31,31.27023090286901,-0.19826144186270658
32,31.234774024962416,-0.18489748030472508
33,31.2273037687112,-0.17193250314035746
34,31.187811277292607,-0.1593433758323369
35,31.15863013530296,-0.14710891941532528
36,31.151578331596756,-0.1352096961156176
37,31.14311008894833,-0.12362782356580237
38,31.113968413489317,-0.11234681315611333
39,31.09732640817384,-0.10135142885465018
40,31.091070828584893,-0.09062756346287709
41,31.085065653689796,-0.08016212978471207
42,31.078724019958116,-0.06994296460302603
43,31.074722559092212,-0.059958743696425135
44,31.072325184325205,-0.05019890640726885
45,31.068498683032498,-0.04065358850103847
46,31.060679037022588,-0.0313135622468951
47,31.053299649812903,-0.022170182807025356
48,31.05042546635547,-0.013215340154098877
49,31.030064896081306,-0.004441415846593747
50,31.029045357176972,0.004158755915323849
51,31.016582860159716,0.012591923452186581
52,31.005031108250076,0.0208644494181765
53,30.99339486561093,0.028982339640355997
54,30.966998172192383,0.03695126931163128
55,30.961093439687424,0.04477660682358788
56,30.960096494447093,0.05246343548987881
57,30.940422010206554,0.06001657338032472
58,30.92482253336216,0.06744059145953166
59,30.921819395986944,0.07473983020103105
60,30.921003466721967,0.08191841482815448
61,30.910246736585513,0.08898026931564135
62,30.909135185197687,0.09592912927096912
63,30.898453020719657,0.10276855380127463
64,30.89838330396539,0.10950193646024305
65,30.896033752963728,0.1161325153592561
66,30.861362597117086,0.12266338251821389
67,30.860199348757835,0.12909749252362374
68,30.859804632154297,0.13543767055464276
69,30.8404670379593,0.1416866198316443
70,30.81113270853874,0.1478469285364627
71,30.80416877066453,0.1539210762486559
72,30.789507677977284,0.15991143993784337
73,30.757641093538762,0.1658202995483636
74,30.744157834214846,0.1716498432090875
75,30.74355551394325,0.17740217209817882
76,30.74318663307285,0.1830793049898693
77,30.737660745959932,0.18868318250786786
78,30.72084739888618,0.19421567110782884
79,30.714252064348774,0.19967856680933102
80,30.71413109919688,0.2050735986960372
81,30.712732075438147,0.2104024322011041
82,30.705097215381794,0.21566667219346133
83,30.680474151456846,0.22086786587926913
84,30.674558861512935,0.22600750553168017
85,30.661603862909143,0.23108703106095516
86,30.646909348038736,0.236107832436006
87,30.634910911059343,0.24107125196755605
88,30.634078725236442,0.24597858646230022
89,30.62876060418996,0.2508310892567123
90,30.621949735029354,0.25562997213848104
91,30.611688870801707,0.26037640716294275
92,30.605652182407546,0.26507152837132253
93,30.605500840239877,0.2697164334170861
94,30.60017601396857,0.27431218510623523
95,30.58798305939976,0.2788598128569558
96,30.587798646843257,0.28336031408363227
97,30.58331986250288,0.28781465550988233
98,30.578891539592654,0.29222377441493735
99,30.5737430724313,0.29658857981738745
100,30.561174167779267,0.30090995360003003
101,30.537977212355948,0.30518875157930503
102,30.53056890349464,0.30942580452255963
103,30.494917078942205,0.31362191911616777
104,30.494631285324772,0.3177778788873255
105,30.48421125271965,0.3218944450821577
106,30.478252218409366,0.3259723575025971
107,30.47447538120371,0.3300123353043372
108,30.47286225238495,0.33401507775801104
109,30.470136641063966,0.3379812649756125
110,30.468940076468062,0.3419115586040449
111,30.458049979386757,0.34580660248756906
112,30.446999885489667,0.3496670233008072
113,30.430830819027236,0.35349343115386
114,30.395405786532518,0.3572864201709991
115,30.388574709869452,0.36104656904430593
116,30.38528733639022,0.3647744415635491
117,30.383566853081252,0.3684705871235128
118,30.3696963371414,0.37213554120991826
119,30.367565280965888,0.37576982586501223
120,30.362101540341385,0.3793739501338375
121,30.33838797575203,0.3829484104921357
122,30.315122444761034,0.3864936912567854
123,30.304699749749773,0.39001026497962255
124,30.286139993956528,0.3934985928254438
125,30.261117026247916,0.39695912493495034
126,30.203965587186072,0.4003923007733443
127,29.901267131807845,0.40379854946525584
128,29.885564274696048,0.4071782901166364
129,29.78221071112328,0.41053193212422423
130,29.663356528939605,0.4138598754731517
131,29.452500979405375,0.4171625110232373
