3.124599701442406285e+01 -1.293364688988805744e+00
3.121824604706314332e+01 -9.923346933248246016e-01
3.113844169956378849e+01 -8.162434342691432532e-01
3.112947493762816364e+01 -6.913046976608433480e-01
3.107308502003362349e+01 -5.943946846527869976e-01
3.097712328701325646e+01 -5.152134386051621107e-01
3.096933242627747518e+01 -4.482666489745489313e-01
3.096553983688997036e+01 -3.902747019968622055e-01
3.089085936334044646e+01 -3.391221795494809288e-01
3.079745312055573692e+01 -2.933646889888057996e-01
3.068732001434508305e+01 -2.519720038305807708e-01
